number,customer,description,price,country,url_addr,deadline
2019-718608,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи","БарМТ №347/19 - Диагностические тесты для исследования спермограммы, реагенты для автомата окраски мазков крови Авто ОМК-01, ИФА тест-системы для диагностики инфекционных заболеваний, реагенты для определения групп крови, реагенты для анализатора ARCHITEC",0,BLR,http://www.icetrade.by/tenders/all/view/718608,2019-06-27
2019-718604,"ОАО ""БЕЛАЗ"" - управляющая компания холдинга ""БЕЛАЗ-ХОЛДИНГ""",Закупка горизонтально-расточного станка типа 2А656Ф11 либо аналог в кол-ве 1 шт,620 000,BLR,http://www.icetrade.by/tenders/all/view/718604,2019-07-05
2019-718602,"РУП ""БЕЛМЕДПРЕПАРАТЫ""",Закупка хроматографов жидкостных высокого давления с диодно-матричным УФ детектором,0,BLR,http://www.icetrade.by/tenders/all/view/718602,2019-06-26
2019-718597,"ОАО ""Птицефабрика ""Дружба""","Гофротара, лотки из вспененного полистирола",1 608 500,BLR,http://www.icetrade.by/tenders/all/view/718597,2019-06-27
2019-718595,Отдел по образованию Столинского районного исполнительного комитета,Закупка автобуса для подвоза школьников,72 500,BLR,http://www.icetrade.by/tenders/all/view/718595,2019-06-26
2019-718580,"Коммунальное кинозрелищное унитарное предприятие ""Наровлякиновидеосеть""",Текущий ремонт фасада здания,0,BLR,http://www.icetrade.by/tenders/all/view/718580,2019-06-25
2019-718574,"Управление по труду, занятости и социальной защите Быховского районного исполнительного комитета",Оказание социальных услуг гражданам Быховского района,2 000,BLR,http://www.icetrade.by/tenders/all/view/718574,2019-07-08
2019-718563,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи","БарМТ №351/19   Контуры дыхательные, Мешки Амбу",0,BLR,http://www.icetrade.by/tenders/all/view/718563,2019-06-27
2019-718558,"ОАО ""Минский молочный завод № 1""",Закупка глазури кондитерской «Карамельная».,222 600,BLR,http://www.icetrade.by/tenders/all/view/718558,2019-06-27
2019-718554,Государственный пограничный комитет Республики Беларусь,Вещевое имущество,0,BLR,http://www.icetrade.by/tenders/all/view/718554,2019-06-26
2019-718553,"Государственное предприятие ""УКС Ушачского района""","Выбор проектной организации на выполнение проектно - изыскательских работ по объекту: ""Строительство проектируемой улицы № 5 в г.п. Ушачи""",125 500,BLR,http://www.icetrade.by/tenders/all/view/718553,2019-07-05
2019-718552,Несвижский государственный колледж имени Якуба Коласа,Текущий ремонт общежития (1 этаж правое крыло),86 870,BLR,http://www.icetrade.by/tenders/all/view/718552,2019-06-26
2019-718546,"ОАО ""Гродножилстрой""",Закупка линии для автоматического пакетирования мелкоштучных элементов благоустройства,440 000,BLR,http://www.icetrade.by/tenders/all/view/718546,2019-06-28
2019-718539,"КУП ""ЖКХ г.Полоцка""","ПСД Капитальный ремонт жилого дома Ф.Скорины 35,16 и Е.Полоцкой 36а, 34а",97 300,BLR,http://www.icetrade.by/tenders/all/view/718539,2019-07-10
2019-718537,2-я городская клиническая больница,Расходные материалы для Ангиографического кабинета №1 на 2019 год,0,BLR,http://www.icetrade.by/tenders/all/view/718537,2019-06-26
2019-718536,Лунинецкое ЖКХ,Выбор подрядной организации,328 260,BLR,http://www.icetrade.by/tenders/all/view/718536,2019-07-06
2019-718533,"Государственное предприятие ""Гордорстрой""",Выбор генеральной подрядной организации на выполнение строительных работ по объекту «Устройство остановочного пункта «Леси Украинки» в г. Минске»,52 915.60,BLR,http://www.icetrade.by/tenders/all/view/718533,2019-07-11
2019-718531,"ОАО ""Могилевоблавтотранс""",ЗАКУПКА  РОЛИКОВ НАТЯЖНЫХ  ДЛЯ ДВИГАТЕЛЕЙ MERCEDES OM 906 LA,25 800,BLR,http://www.icetrade.by/tenders/all/view/718531,2019-06-28
2019-718521,"РЕСПУБЛИКАНСКИЙ ЦЕНТР ГИГИЕНЫ, ЭПИДЕМИОЛОГИИ И ОБЩЕСТВЕННОГО ЗДОРОВЬЯ",закупка питательных сред,0,BLR,http://www.icetrade.by/tenders/all/view/718521,2019-06-26
